C ,-0.082,,
C ,0.631,,
C ,-0.535,,
C ,-0.217,,
S ,-0.111,,
O ,-0.563,,
H ,0.203,,
,,,
C ,0.196,,
H ,0.049,,
H ,0.049,,
C ,0.515,,
H ,-0.018,,
H ,-0.018,,
O ,-0.797,,
C ,0.357,,
H ,-0.015,,
H ,-0.015,,
C ,0.575,,
H ,-0.046,,
H ,-0.046,,
O ,-0.784,,
C ,0.34,,
H ,-0.015,,
H ,-0.015,,
C ,0.371,,
H ,0.005,,
H ,0.005,,
O ,-0.548,,
C ,-0.017,,
H ,0.077,,
H ,0.077,,
H ,0.077,,
,,,
Sn,1.141,,
C ,-0.784,,
H ,0.173,,
H ,0.173,,
H ,0.173,, 
C ,-0.775,,
H ,0.163,,
H ,0.163,,
H ,0.163,,
C ,-0.854,,
H ,0.193,,
H ,0.193,,
H ,0.193,,